round,rank,shpNm,sido,sigungu,addr,autoManual,lat,lot,ltShpId
1033,1,행운복권방,서울,은평구,서울 은평구  서오릉로 10,수동,37.602294,126.92678,11190117
1033,1,인터넷 복권판매사이트,서울,서초구,동행복권(dhlottery.co.kr),자동,37.482063,127.015788,51100000
1033,1,헬스프라자,서울,관악구,서울 관악구  관악로 184 1층,수동,37.481523,126.95323,11101580
1033,1,월드 복권방,서울,강서구,서울 강서구  곰달래로53길 41 1층 102호(화곡동 재룡빌딩),자동,37.533515,126.85879,11140448
1033,1,송천복권방,부산,해운대구,부산 해운대구  선수촌로 108,자동,35.203239,129.11988,12610039
1033,1,복권왕국,인천,부평구,인천 부평구  경인로 931,자동,37.487693,126.723,12890023
1033,1,복권천국,인천,부평구,인천 부평구  평천로 306 양영빌딩1층,자동,37.517114,126.72441,12800066
1033,1,성호복권방,대전,대덕구,대전 대덕구  신일동로 1,자동,36.444743,127.405115,13040030
1033,1,대박행진 복권랜드,경기,파주시,경기 파주시  금빛로 22 금촌프라자107호,자동,37.751653,126.76692,14100741
1033,1,대박로또복권,경기,김포시,경기 김포시  통진읍 김포대로 2449,자동,37.69693,126.57731,14110189
1033,1,CU(제천고암점),충북,제천시,충북 제천시  고암로 69 1층 CU편의점,자동,37.157856,128.214669,24300016
1033,1,세븐일레븐 천안메르디앙점,충남,천안시 서북구,충남 천안시 서북구  성정공원5로 30 105호(세븐일레븐),수동,36.827639,127.140884,14440285
1033,1,포시즌,경남,김해시,경남 김해시  내외중앙로 99 복권판매점,수동,35.238828,128.867158,14800183
1034,1,부자랑,서울,성동구,서울 성동구  둘레15길 23,수동,37.536876,127.05533,11190191
1034,1,경준유통,인천,중구,인천 중구  화랑목로100번길 65 104호,자동,37.494153,126.49905,12800233
1034,1,LG슈퍼,인천,연수구,인천 연수구  함박로12번길 24 1층,수동,37.425379,126.68008,12800099
1034,1,홈돌이로또복권,인천,남동구,인천 남동구  경원대로 971 삼성홈플러스간석점2층내,자동,37.469562,126.68907,12800238
1034,1,오천억복권방,광주,서구,광주 서구  상무대로 1087,자동,35.152922,126.88072,12900033
1034,1,제우스테크,대전,서구,대전 서구  원도안로 30,자동,36.306779,127.34865,13000175
1034,1,청룡마트,충남,천안시 동남구,충남 천안시 동남구  풍세로 1010-31 현대아파트상가B-102호,자동,36.797616,127.155,14400078
1034,1,강경복권방,충남,논산시,충남 논산시  강경읍 계백로 126-1,자동,36.156023,127.01486,14490007
1034,1,스타복권,전남,목포시,전남 목포시  고하대로 688-1 1층,자동,34.808371,126.3728,14640063
1035,1,인터넷 복권판매사이트,서울,서초구,동행복권(dhlottery.co.kr),자동,37.482063,127.015788,51100000
1035,1,세원로또복권방,부산,수영구,부산 수영구  수영로725번길 53 수영 엔스타Ⅱ 101호,자동,35.168323,129.11602,12600288
1035,1,무량복권,대구,수성구,대구 수성구  시지로 37 1층 동편상가,자동,35.840066,128.69355,12740154
1035,1,복권명당,인천,서구,인천 서구  봉오재3로 104 엔시티타워2차 1층 115호,자동,37.52715,126.67128,12810178
1035,1,동원인테리어,인천,미추홀구,인천 미추홀구  경인로 213-4,수동,37.465046,126.66637,12830003
1035,1,로또명당가두판매점,경기,안양시 동안구,경기 안양시 동안구  경수대로 848-2 동안구가로판매대2005-00065,자동,37.394616,126.94141,14100587
1035,1,황금복권판매점,경기,성남시 중원구,경기 성남시 중원구  산성대로582번길 2 1층일부 (은행동),자동,37.461448,127.16816,14141238
1035,1,영월로또명당,강원,영월군,강원 영월군  중앙로 44,자동,37.183372,128.46849,14210037
1036,1,하나복권(가로판매점),서울,영등포구,서울 영등포구  여의나루로 42 가로판매점(여의도동),자동,37.521465,126.92499,11190138
1036,1,명지복권방,서울,송파구,서울 송파구  거마로 55 101호,자동,37.497838,127.146231,11100276
1036,1,토큰박스,서울,동대문구,서울 동대문구  이문로 93 민족통일MJ캠퍼스외대 외대앞 버스정류장,자동,37.595381,127.05923,11101078
1036,1,동양마트일곡점,광주,북구,광주 북구  일곡마을로 55 현대아파트 2차상가 102-2호,자동,35.205116,126.89527,12900070
1036,1,로또,경기,포천시,경기 포천시  죽엽산로196번길 4,자동,37.814733,127.16035,14130222
1036,1,용꿈돼지꿈복권방,경기,시흥시,경기 시흥시  하중로 235 법조타운103호,수동,37.39083,126.80657,14190104
1036,1,명성복권마트,충남,계룡시,충남 계룡시  장안로 66,수동,36.272294,127.2495,14420001
1036,1,복권천국,전남,여수시,전남 여수시  선소로 62 부영아파트상가4동1-2호,수동,34.757911,127.66799,14610013
1036,1,비디오 채널4,경남,진주시,경남 진주시  동진로 220,수동,35.186833,128.11924,14800160
1037,1,지원물산,서울,노원구,서울 노원구  공릉로 108,자동,37.619831,127.07812,11101357
1037,1,로또 명당,대구,동구,대구 동구  화랑로75길 69,자동,35.880512,128.66629,12740053
1037,1,초원복권 신창점,광주,광산구,광주 광산구  신창로 76 1층,자동,35.191992,126.83728,12910074
1037,1,대전우표사,대전,동구,대전 동구  중앙로204번길 16-1,자동,36.329992,127.432,13000156
1037,1,대한유통,울산,북구,울산 북구  박상진11로 1 1층112호,자동,35.6003,129.36381,13140007
1037,1,세븐일레븐화성봉담수기점,경기,화성시,경기 화성시  세자로 358,자동,37.19729,126.98326,14141029
1037,1,로또복권합정점,경기,평택시,경기 평택시  중앙로 176 127호 평택합정 SK뷰 주상복합,수동,36.99173,127.1024,14141597
1037,1,행운복권방,경기,안성시,경기 안성시  서동대로 7184 1층 복권방,수동,37.083485,127.44803,14140226
