순위  시/도       당첨건수     점포수      비율   빈도 막대
1   경기         731     495   25.2%   ■■■■■■■■■■■■■■■■■■■■■■■■■
2   서울         544     326   18.7%   ■■■■■■■■■■■■■■■■■■■
3   부산         198     123    6.8%   ■■■■■■■
4   인천         189     139    6.5%   ■■■■■■■
5   경남         169     125    5.8%   ■■■■■■
6   충남         138      89    4.7%   ■■■■■
7   경북         134      92    4.6%   ■■■■■
8   전남         109      71    3.8%   ■■■■
9   충북         101      76    3.5%   ■■■
10  강원         100      64    3.4%   ■■■
11  대구          98      68    3.4%   ■■■
12  전북          96      63    3.3%   ■■■
13  광주          93      54    3.2%   ■■■
14  울산          74      48    2.5%   ■■■
15  대전          73      50    2.5%   ■■■
16  제주          40      27    1.4%   ■
17  세종          17      11    0.6%   ■
18  전남광주         2       2    0.1%   

총 1등 당첨 건수: 2906건 / 18개 시도
